,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ATR(df,14)","Exit_ATR(df,14)","Entry_SMA(C,800)","Exit_SMA(C,800)","Entry_ADX(df,14)","Exit_ADX(df,14)",Entry_λ(H),Exit_λ(H),Entry_λ(L),Exit_λ(L)
41,-123,7469,7480,19636.07,20393.000000000004,20393.000000000004,,-98025.96561000048,4923.57561,-0.0405864854830933,2022-11-08 05:00:00,2022-11-08 16:00:00,0 days 11:00:00,,231.29928571428562,326.44571428571464,19871.2020875,19863.9477625,36.28711403392778,70.7243996898881,21480.65,21480.65,19546.7,19229.0
42,-63,7483,7527,18600.51,17834.369999999995,17834.369999999995,,45971.422560000196,2295.3974399999997,0.03923038239274105,2022-11-08 19:00:00,2022-11-10 15:00:00,1 days 20:00:00,,492.83571428571435,418.3285714285711,19858.6056875,19720.717562499998,60.955409126131585,31.058139351489878,21480.65,21289.49,18386.0,15588.0
43,-239,7774,7815,16284.23,16304.368571428571,16304.368571428571,,-12601.79363000004,7788.675058571429,-0.003237928351540154,2022-11-20 22:00:00,2022-11-22 15:00:00,1 days 17:00:00,,108.88785714285743,156.47214285714315,18940.7999375,18774.6552,39.476360278845064,51.382061363945716,17011.0,16822.41,16212.59,15476.0
44,-343,7946,7972,16143.4,16447.480000000003,16447.480000000003,,-115478.11184000122,11178.671840000003,-0.02085501691093597,2022-11-28 02:00:00,2022-11-29 04:00:00,1 days 02:00:00,,82.87571428571444,122.93785714285734,18325.774375,18188.297400000003,45.730246068963574,29.219719981245532,16812.63,16701.99,16090.0,15995.27
45,313,8314,8347,17427.82,17790.32,17790.32,,102439.22218,11023.27782,0.018779277040960884,2022-12-13 10:00:00,2022-12-14 19:00:00,1 days 09:00:00,,84.78714285714315,152.08357142857156,16764.651824999997,16790.027837499998,59.85557252489368,51.150103438527715,17500.0,18387.95,16871.85,16871.85
46,-203,8393,8446,16810.64,16837.125714285714,16837.125714285714,,-12207.096440000043,6830.496440000001,-0.0035771083075956302,2022-12-16 17:00:00,2022-12-18 22:00:00,2 days 05:00:00,,131.67571428571395,50.89571428571357,16823.077075,16832.10675,46.92033580415224,12.31046261852578,18387.95,18387.95,16732.36,16527.32
47,-275,8471,8474,16416.82,16793.04,16793.04,,-112593.21150000033,9132.711500000001,-0.02493965701031013,2022-12-19 23:00:00,2022-12-20 02:00:00,0 days 03:00:00,,97.52357142857156,128.20428571428576,16827.822474999997,16827.9946375,52.59545126622405,57.45122915966267,17531.73,17531.73,16256.3,16256.3
48,-463,8658,8733,16680.28,16644.174285714285,16644.174285714285,,1287.7233799996247,15429.222334285714,0.00016673940725213865,2022-12-27 18:00:00,2022-12-30 21:00:00,3 days 03:00:00,,58.565000000000246,67.98285714285599,16913.1163625,16919.001975,54.71948948756271,57.33007415668208,16972.83,16972.83,16620.04,16333.0
49,470,8851,8891,16948.04,16729.83142857143,16729.83142857143,,-118386.62814285708,15828.599571428575,-0.014862275688347592,2023-01-04 19:00:00,2023-01-06 11:00:00,1 days 16:00:00,,67.20642857142879,34.808571428571405,16917.3076375,16909.80925,65.07289203582151,25.53715338775654,16985.91,16991.87,16470.0,16605.28
50,524,8952,9183,17127.83,20949.84142857143,20949.84142857143,,1982781.2887428578,19952.699828571433,0.22092312669747763,2023-01-09 00:00:00,2023-01-18 15:00:00,9 days 15:00:00,,54.601428571429224,172.26000000000022,16898.598737499997,17522.6778875,44.81114479994464,28.854477777137088,17176.99,21650.0,16679.0,20472.39
51,164,9237,9284,22288.91,22472.875714285714,22472.875714285714,,22829.44428571425,7340.932857142857,0.006245434548904645,2023-01-20 21:00:00,2023-01-22 20:00:00,1 days 23:00:00,,192.74571428571366,176.3128571428567,17807.698,18168.1244875,35.549081029406054,26.731746540628084,22385.41,23371.8,20407.15,20407.15
52,145,9358,9385,23592.56,22759.11,22759.11,,-127571.24215000011,6720.99215,-0.0372914880792928,2023-01-25 22:00:00,2023-01-27 01:00:00,1 days 03:00:00,,273.8335714285713,197.55142857142815,18723.5805125,18933.4654375,33.457375618194185,23.15029320312744,23700.0,23816.73,22292.37,22300.0
53,173,9452,9465,23896.65,23206.280000000002,23206.280000000002,,-127582.81688999983,8148.806890000001,-0.030860933645510968,2023-01-29 20:00:00,2023-01-30 09:00:00,0 days 13:00:00,,188.97999999999956,152.28428571428518,19460.6066875,19573.441325,75.48485204431059,49.69437248239398,23960.54,23960.54,22510.0,22534.88
54,132,9529,9549,24188.09,23421.468571428577,23421.468571428577,,-107478.49030285643,6284.4617314285715,-0.033662475505211474,2023-02-02 01:00:00,2023-02-02 21:00:00,0 days 20:00:00,,236.18928571428555,201.04499999999982,20093.8383,20274.8160875,46.78106500424762,46.32992941671713,24255.0,24255.0,22500.0,22500.0
55,212,9831,9886,22247.39,24319.009999999995,24319.009999999995,,429311.36319999903,9872.076799999999,0.09102432240366157,2023-02-14 15:00:00,2023-02-16 22:00:00,2 days 07:00:00,,165.5950000000004,292.4585714285718,22248.039787499998,22526.484187500002,31.918135542412678,28.28346041805892,22260.0,25250.0,21351.07,21351.07
56,-138,10226,10273,22150.31,22428.687142857147,22428.687142857147,,-44567.94732000035,6151.901605714287,-0.014580208583988345,2023-03-03 02:00:00,2023-03-05 01:00:00,1 days 23:00:00,,237.86642857142812,87.92142857142893,23299.40545,23238.2003125,37.11154933703888,23.058853465562752,24000.0,24000.0,21971.13,21971.13
57,-195,10367,10417,21800.47,20529.99142857143,20529.99142857143,,239488.88145000004,8254.439978571429,0.05633585468570175,2023-03-08 23:00:00,2023-03-11 01:00:00,2 days 02:00:00,,170.37428571428532,278.5085714285714,23118.341399999998,22950.543850000002,24.96003265099295,22.620864110766632,22662.09,22557.91,21660.0,19549.09
58,92,10479,10507,23484.64,24378.39,24378.39,,77821.60124,4403.39876,0.03601873266952352,2023-03-13 15:00:00,2023-03-14 19:00:00,1 days 04:00:00,,391.9771428571426,489.9614285714285,22793.066675,22854.742825,59.051655061322094,57.77516190861127,23560.16,26386.87,19549.09,19765.03
59,96,10571,10635,26705.7,27185.678571428572,27185.678571428572,,40904.37051428574,5173.572342857144,0.015954915724251416,2023-03-17 11:00:00,2023-03-20 03:00:00,2 days 16:00:00,,321.93714285714333,399.90142857142797,23097.1539125,23535.667675,62.524928990503284,48.0978706579427,26788.81,28390.1,21813.88,24123.0
60,128,10856,10888,28506.99,27989.32571428571,27989.32571428571,,-73492.55698285777,7231.528411428571,-0.020141046158453614,2023-03-29 09:00:00,2023-03-30 17:00:00,1 days 08:00:00,,236.01642857142906,212.2521428571425,24505.533112499998,24704.3505125,50.67146857835469,33.81174326348684,28650.0,29184.68,26508.14,26508.14
61,279,11133,11246,28437.2,30220.79,30220.79,,481256.03079000005,16365.57921,0.06065758970644082,2023-04-09 22:00:00,2023-04-14 15:00:00,4 days 17:00:00,,114.94642857142857,201.00642857142884,26292.901475,27546.628049999996,30.39389569038926,38.71944061049276,28476.34,31000.0,27711.0,28170.0
62,-126,11395,11439,28104.38,27665.384285714288,27665.384285714288,,48286.46969999983,7026.990300000001,0.013635808724476322,2023-04-20 20:00:00,2023-04-22 16:00:00,1 days 20:00:00,,263.281428571429,122.05857142857141,28544.0930125,28560.099175,71.42086424164862,55.69306337975429,30549.99,30485.0,28010.0,27125.0
63,158,11528,11538,28727.19,28926.59,28926.59,,22395.90276000023,9109.29724,0.004934218070058331,2023-04-26 09:00:00,2023-04-26 19:00:00,0 days 10:00:00,,209.8442857142862,438.02214285714246,28529.472112499996,28545.364787500002,71.1476713336083,79.52815347516193,28780.0,30036.0,26942.82,26942.82
64,-173,11655,11677,28170.64,28556.949999999997,28556.949999999997,,-76645.5030699996,9813.87307,-0.01572692668679154,2023-05-01 16:00:00,2023-05-02 14:00:00,0 days 22:00:00,,195.69428571428503,178.08428571428547,28785.943574999998,28775.33975,70.196214308086,37.1981375297973,29969.39,29969.39,28075.36,27666.95
65,164,11752,11773,29586.94,28800.632857142857,28800.632857142857,,-138529.93337714273,9575.561948571429,-0.02854958017673624,2023-05-05 17:00:00,2023-05-06 14:00:00,0 days 21:00:00,,201.72499999999985,159.23285714285703,28824.155587499998,28858.365225,32.95906058233792,34.12393953905664,29677.0,29820.0,27666.95,27910.0
66,-162,11809,11867,28220.35,27963.752857142856,27963.752857142856,,32466.912480000006,9101.824662857143,0.0071017205668958885,2023-05-08 02:00:00,2023-05-10 12:00:00,2 days 10:00:00,,202.26928571428576,127.1042857142854,28892.4463625,28858.8717875,29.450728533569492,14.370962368613444,29820.0,29367.2,28034.34,27262.0
67,-127,11906,11945,26646.7,27003.634285714284,27003.634285714284,,-52144.246739999755,6813.592454285714,-0.015408460334675553,2023-05-12 03:00:00,2023-05-13 18:00:00,1 days 15:00:00,,236.192142857143,100.67285714285754,28830.352,28758.201825,66.34179064860383,44.554525561177954,28792.19,28331.42,26539.28,25811.46
68,-166,12065,12112,26489.0,27041.72,27041.72,,-100637.6195200002,8886.09952,-0.02288688587715649,2023-05-18 18:00:00,2023-05-20 17:00:00,1 days 23:00:00,,204.67214285714286,54.872857142857484,28306.111549999998,28108.661712499998,38.977198833053016,40.781309591148066,27663.59,27500.0,26361.2,26361.2
69,-216,12205,12253,26442.85,26722.085714285713,26722.085714285713,,-71798.54040000004,11483.626114285715,-0.012570530408030973,2023-05-24 14:00:00,2023-05-26 14:00:00,2 days 00:00:00,,161.06571428571417,119.16214285714211,27836.495274999997,27762.380887499996,74.38825235164238,22.669377988457118,27495.83,27495.83,26274.69,25871.89
70,205,12309,12363,27835.03,27519.51142857143,27519.51142857143,,-76028.98813571378,11347.680992857142,-0.01332397029416316,2023-05-28 22:00:00,2023-05-31 04:00:00,2 days 06:00:00,,172.5164285714283,147.32214285714275,27725.881875,27659.8489875,70.24841739047973,23.252998360089723,27956.0,28447.14,25871.89,26551.0
71,-177,12386,12477,26719.26,27331.80142857143,27331.80142857143,,-117986.87073000066,9567.037872857143,-0.024948014653100654,2023-06-01 03:00:00,2023-06-04 22:00:00,3 days 19:00:00,,180.75142857142913,77.68071428571395,27594.1000125,27391.232737500002,35.15682345774121,36.823482881966456,28447.14,27350.0,26640.0,26505.0
72,-191,12495,12517,26007.53,25990.67571428571,25990.67571428571,,-6712.488719999315,9931.65729142857,-0.0013512978741155113,2023-06-05 16:00:00,2023-06-06 14:00:00,0 days 22:00:00,,189.13571428571439,152.62928571428503,27349.4238625,27266.4377875,56.31979806438965,31.499292040144166,27455.02,27455.02,26000.0,25351.02
73,185,12773,12814,26690.44,26301.711428571427,26301.711428571427,,-81718.33372857148,9803.548014285714,-0.016549772984527183,2023-06-17 06:00:00,2023-06-18 23:00:00,1 days 17:00:00,,161.15571428571457,107.2928571428573,26678.524825,26642.327549999998,39.23088739631333,22.291706038641696,26839.99,26839.99,24800.0,24800.0
74,186,12856,12950,27380.55,30289.00857142857,30289.00857142857,,530246.7563914285,10726.537894285713,0.10411730271514415,2023-06-20 17:00:00,2023-06-24 15:00:00,3 days 22:00:00,,203.68857142857192,145.81714285714355,26621.959899999998,26978.03815,42.13827166551527,33.99555435090849,27395.0,31431.94,25175.56,26652.0
75,262,13338,13340,30528.99,30266.128571428573,30266.128571428573,,-84798.01535142853,15928.321065714286,-0.010601613323691932,2023-07-10 19:00:00,2023-07-10 21:00:00,0 days 02:00:00,,142.81785714285746,196.6650000000001,28687.870550000003,28697.1958625,39.93216124323014,38.47359907901245,30548.12,31045.78,29701.02,29701.02
76,152,13410,13432,31255.01,30723.59142857143,30723.59142857143,,-90196.37027428501,9420.747417142858,-0.018985665749495513,2023-07-13 19:00:00,2023-07-14 17:00:00,0 days 22:00:00,,244.09357142857127,175.85857142857145,29063.09745,29215.164950000002,49.06694070690555,35.402580598024635,31479.99,31804.2,29950.0,30158.83
77,-199,13665,13697,29178.0,29371.931428571428,29371.931428571428,,-50243.790639999905,11651.436354285714,-0.008653141407909955,2023-07-24 10:00:00,2023-07-25 18:00:00,1 days 08:00:00,,174.58785714285764,93.37428571428556,30338.678624999997,30317.248825000002,29.49230625347813,36.62935514274256,30417.46,30350.0,29000.0,28861.9
78,-231,13850,13866,28933.22,29306.07571428571,29306.07571428571,,-99582.94730999897,13453.277310000001,-0.014899655482521259,2023-08-01 03:00:00,2023-08-01 19:00:00,0 days 16:00:00,,135.01714285714323,127.26714285714272,30101.917525000004,30075.892687500003,43.15760866516432,40.57241278938727,29542.22,29542.22,28720.0,28585.7
79,196,14036,14055,29979.99,29656.374285714282,29656.374285714282,,-75117.40740000096,11688.7274,-0.012783595944209225,2023-08-08 21:00:00,2023-08-09 16:00:00,0 days 19:00:00,,186.41285714285706,129.09857142857203,29768.6254875,29759.3657375,79.45671867780796,23.440383162744187,29999.0,30244.0,28701.03,28701.03
80,-258,14231,14295,28730.51,26263.074285714287,26263.074285714287,,622410.0695399992,14188.344745714287,0.08396795357966134,2023-08-17 00:00:00,2023-08-19 16:00:00,2 days 16:00:00,,148.8307142857141,107.41571428571426,29512.623112499998,29238.705587499997,57.26135968079869,19.057012525820745,29695.32,29499.26,28723.08,25166.0
81,-209,14609,14651,25478.85,26015.65142857143,26015.65142857143,,-122953.84937000045,10762.350798571428,-0.023089579396244352,2023-09-01 18:00:00,2023-09-03 12:00:00,1 days 18:00:00,,178.85000000000036,56.290714285714,27926.018500000002,27744.899862499995,51.13318542719516,41.493268427475996,28142.85,27587.51,25333.75,25333.75
