,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(15),Exit_calculate…(15),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(60),Exit_calculate…(60)
34,2,18279,18302,42651.1,42694.01,,,-84.87021999999303,170.69022,-0.000994935886764946,2024-02-01 15:00:00,2024-02-02 14:00:00,0 days 23:00:00,,42352.67842001697,42968.77556459232,42105.76918339027,42235.420318783305,42272.46690960862,42314.10162063476,243.00500000000102,199.32285714285743,41884.28,41884.28
35,1,19373,19385,68360.01,67124.12,,,-1371.3741299999995,135.48413,-0.020061058065965726,2024-03-18 05:00:00,2024-03-18 17:00:00,0 days 12:00:00,,67948.38144945464,67721.08187898576,67845.72701669573,67844.36604206885,61701.37376159591,61882.60583739075,685.5842857142842,774.2164285714285,64533.0,64533.0
36,1,19538,19551,66556.0,69377.2,,,2685.266799999997,135.9332,0.04034597632069239,2024-03-25 02:00:00,2024-03-25 15:00:00,0 days 13:00:00,,66146.41470882834,67578.13792180679,66055.20143812303,66180.81356823456,62880.815229780106,63030.43374403369,601.0971428571423,643.5571428571441,62260.0,63506.5
37,1,19841,19850,68143.48,69541.65,,,1260.4848699999982,137.68513,0.01849751245460318,2024-04-06 17:00:00,2024-04-07 02:00:00,0 days 09:00:00,,67929.68260240654,68625.13595981369,67880.94105272196,67933.91176111487,65884.83103434202,65949.38005899658,307.46928571428725,404.15571428571485,65548.67,65952.56
38,1,20534,20555,64119.91,64007.16,,,-240.87707,128.12707,-0.0037566657532738606,2024-05-05 14:00:00,2024-05-06 11:00:00,0 days 21:00:00,,63715.48683915531,64285.1688708599,62497.60409126631,62719.32563728322,64033.85636514696,64041.89004032345,377.96428571428623,467.64214285714326,58849.94,62541.03
39,1,20556,20592,64203.55,62312.07,,,-2017.9956200000033,126.51562000000001,-0.031431215563625395,2024-05-06 12:00:00,2024-05-08 00:00:00,1 days 12:00:00,,64198.771512002415,63135.57652872621,62725.13736062353,62874.266965745985,64040.77168816284,63988.21041960751,524.0064285714288,528.197857142857,62541.03,62111.0
40,1,21125,21151,68163.0,68272.0,,,-27.435000000000002,136.435,-0.00040249108754023596,2024-05-30 05:00:00,2024-05-31 07:00:00,1 days 02:00:00,,67869.17731592226,68404.33742509957,67804.26971400518,67893.17246194846,66149.88965130305,66288.81410399279,363.86428571428615,319.63214285714326,67124.65,67124.65
41,1,21207,21225,68252.51,69142.54,,,752.6349499999989,137.39505,0.011027212772101664,2024-06-02 15:00:00,2024-06-03 09:00:00,0 days 18:00:00,,67926.21018645444,68529.90080466376,67856.01370285855,67906.50085955256,66482.46857127544,66562.13330322887,275.914285714288,343.52499999999935,66670.0,67239.19
42,1,22225,22228,61212.0,62647.87,,,1312.0101300000026,123.85987,0.02143387129974509,2024-07-15 01:00:00,2024-07-15 04:00:00,0 days 03:00:00,,60498.19872172857,61187.15015928301,58827.98073272467,58902.28072877639,61179.18145836029,61189.64877583726,490.76071428571385,538.0357142857132,57150.06,57150.06
43,1,22480,22502,64790.89,67887.88,,,2964.3112300000053,132.67877000000001,0.04575197577931094,2024-07-25 16:00:00,2024-07-26 14:00:00,0 days 22:00:00,,64596.853812552705,66955.95683354922,64554.65437701402,64826.680443610436,63294.10505928428,63467.06248358353,476.1742857142864,437.89071428571435,63456.7,63456.7
