,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(100),Exit_calculate…(100),Entry_calculate…(400),Exit_calculate…(400),Entry_calculate…(14),Exit_calculate…(14),Entry_λ,Exit_λ,Entry_calculate…(20),Exit_calculate…(20)
31,-1,2508,2512,40268.23,40450.0,,,-262.4882299999968,80.71823,-0.006518494356469056,2022-04-15 11:00:00,2022-04-15 15:00:00,0 days 04:00:00,,40737.61510620929,40701.355235390605,42638.887473736744,42591.85676496692,237.21000000000018,285.99000000000007,54.93150470402344,61.8827011997446,1149.463877,1078.171296
32,-1,2513,2542,40412.21,40280.0,,,51.517789999999124,80.69221,0.0012748075396024614,2022-04-15 16:00:00,2022-04-16 21:00:00,1 days 05:00:00,,40695.05295350168,40556.82325668394,42580.84047187481,42285.05277453365,291.65142857142877,178.07499999999968,61.92580389637371,-3.920737465050255,1078.9152305,644.673513
33,-1,2544,2554,40405.85,40390.15,,,-65.09600000000292,80.796,-0.0016110538449259438,2022-04-16 23:00:00,2022-04-17 09:00:00,0 days 10:00:00,,40550.36608555625,40509.31595188732,42266.21904377791,42171.43811629122,192.7585714285711,171.26499999999993,7.241352220937987,11.761687737775848,676.7248280000001,602.961678
34,-1,2702,2717,39695.12,39776.56,,,-160.91167999999504,79.47167999999999,-0.004053689219228928,2022-04-23 13:00:00,2022-04-24 04:00:00,0 days 15:00:00,,40457.923980524916,40261.76901237966,41358.76634321957,41239.27483464643,169.10785714285677,199.04785714285703,68.70836089135591,14.697890050266878,1018.2936354999999,845.3969810000001
35,-1,2728,2731,39752.4,39421.18,,,252.04642000000115,79.17358,0.006340407623187568,2022-04-24 15:00:00,2022-04-24 18:00:00,0 days 03:00:00,,40147.11788400811,40110.91110317779,41155.96507631151,41131.67631611288,193.46714285714293,256.0685714285714,5.840705676182779,-6.414000695108555,872.151492,1197.894903
36,-1,2799,2800,39344.69,38672.62,,,594.0526899999998,78.01731000000001,0.01509867506898648,2022-04-27 14:00:00,2022-04-27 15:00:00,0 days 01:00:00,,39422.17806075495,39413.93215856178,40591.328065634516,40583.41999548173,363.005,387.9578571428569,93.0833702726749,86.3584377660772,2677.1628035,2639.4081644999997
37,-1,2811,2826,39230.01,39899.43,,,-748.5494399999983,79.12944,-0.01908104127426926,2022-04-28 02:00:00,2022-04-28 17:00:00,0 days 15:00:00,,39362.84600500126,39413.81307414473,40506.67949892345,40437.60427299337,425.1121428571418,405.3164285714286,58.32932197144511,46.80113911819106,2607.966346,2333.8845205000002
38,-1,2899,2900,38382.47,37934.9,,,371.2526299999997,76.31737000000001,0.009672452815048083,2022-05-01 18:00:00,2022-05-01 19:00:00,0 days 01:00:00,,38677.53185707495,38660.31083020218,39878.995198749806,39868.66539725978,235.1992857142863,234.75785714285772,52.272029983135766,22.803094932222663,1764.2738439999998,1533.1626055000002
39,-1,2904,2910,38306.63,38975.11,,,-745.7617400000032,77.28174,-0.019468215815382495,2022-05-01 23:00:00,2022-05-02 05:00:00,0 days 06:00:00,,38637.12806145576,38649.477107562714,39838.751735975995,39806.34738719693,325.30642857142965,345.649285714286,55.90662297102137,92.00861447609225,1591.398482,1699.5898519999998
40,-1,3110,3118,32158.12,31009.28,,,1085.6726,63.1674,0.03376044992679924,2022-05-10 13:00:00,2022-05-10 21:00:00,0 days 08:00:00,,33843.92506888361,33449.92642644868,37106.18691968094,36874.06462697431,704.7071428571433,643.4342857142858,187.15458277495782,-30.53708471538235,9256.138996599999,6301.8987019999995
