,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(15),Exit_calculate…(15),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14)
37,2,18194,18240,42160.21,42941.1,,,1391.5773799999988,170.20262,0.016503444598591877,2024-01-29 02:00:00,2024-01-31 00:00:00,1 days 22:00:00,,42113.032207131546,43301.750551340825,41565.73847388004,41955.47091585496,42141.037082872615,42236.36448679946,262.33142857142695,322.41000000000037
38,2,18279,18298,42651.1,42980.91,,,488.3559800000099,171.26402000000002,0.00572501037487899,2024-02-01 15:00:00,2024-02-02 10:00:00,0 days 19:00:00,,42352.67842001697,43002.776710774735,42105.76918339027,42216.28615933721,42272.46690960862,42307.76915415358,243.00500000000102,189.03642857142768
39,1,19373,19385,68360.01,67124.12,,,-1371.3741299999995,135.48413,-0.020061058065965726,2024-03-18 05:00:00,2024-03-18 17:00:00,0 days 12:00:00,,67948.38144945464,67721.08187898576,67845.72701669573,67844.36604206885,61701.37376159591,61882.60583739075,685.5842857142842,774.2164285714285
40,1,19538,19580,66556.0,69477.66,,,2785.6263400000034,136.03366,0.0418538725283971,2024-03-25 02:00:00,2024-03-26 20:00:00,1 days 18:00:00,,66146.41470882834,70120.93546514638,66055.20143812303,66918.39553839708,62880.815229780106,63544.50332961159,601.0971428571423,721.0564285714291
41,1,19841,19902,68143.48,71055.99,,,2773.3105300000093,139.19947000000002,0.040698105380001307,2024-04-06 17:00:00,2024-04-09 06:00:00,2 days 13:00:00,,67929.68260240654,71315.58713503536,67880.94105272196,68697.2708204952,65884.83103434202,66501.98442656294,307.46928571428725,438.4842857142888
42,1,20534,20555,64119.91,64007.16,,,-240.87707,128.12707,-0.0037566657532738606,2024-05-05 14:00:00,2024-05-06 11:00:00,0 days 21:00:00,,63715.48683915531,64285.1688708599,62497.60409126631,62719.32563728322,64033.85636514696,64041.89004032345,377.96428571428623,467.64214285714326
43,1,20556,20589,64203.55,62974.94,,,-1355.7884900000006,127.17849000000001,-0.021117033092406944,2024-05-06 12:00:00,2024-05-07 21:00:00,1 days 09:00:00,,64198.771512002415,63413.233185737074,62725.13736062353,62880.16275519688,64040.77168816284,63998.79075851078,524.0064285714288,522.9985714285722
44,1,21125,21141,68163.0,68475.99,,,176.35101000000523,136.63899,0.0025871955459708163,2024-05-30 05:00:00,2024-05-30 21:00:00,0 days 16:00:00,,67869.17731592226,68452.25801798332,67804.26971400518,67857.93273850836,66149.88965130305,66235.2499822246,363.86428571428615,508.65357142857204
45,1,21207,21247,68252.51,68905.43,,,515.7620599999982,137.15794,0.007556675351573158,2024-06-02 15:00:00,2024-06-04 07:00:00,1 days 16:00:00,,67926.21018645444,69040.52972141943,67856.01370285855,68075.284462485,66482.46857127544,66700.43650094216,275.914285714288,293.37642857143095
46,2,22225,22289,61212.0,64242.01,,,5809.111980000004,250.90802000000002,0.04745076112526954,2024-07-15 01:00:00,2024-07-17 17:00:00,2 days 16:00:00,,60498.19872172857,64853.72480904566,58827.98073272467,60688.17215825631,61179.18145836029,61614.21325105722,490.76071428571385,524.9671428571419
