,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(10),Exit_calculate…(10),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(50),Exit_calculate…(50)
42,1,19840,19850,68104.01,69541.65,,,1299.9943399999995,137.64566,0.019088367043291622,2024-04-06 16:00:00,2024-04-07 02:00:00,0 days 10:00:00,,67925.08435102021,68825.2586953019,67878.22293267328,67933.91176111487,65878.81734481597,65949.38005899658,297.73785714285935,404.15571428571485,65952.56,65952.56
43,1,19937,19959,69499.99,69600.55,,,-38.54054000000235,139.10054000000002,-0.0005545402236749437,2024-04-10 17:00:00,2024-04-11 15:00:00,0 days 22:00:00,,68974.59330101483,70275.09180907765,68819.0951828213,69034.98809452614,66736.47564760676,66932.53361781231,590.6628571428581,598.9578571428584,67518.0,67518.0
44,1,20214,20275,66377.99,64127.04,,,-2381.4550300000046,130.50503000000003,-0.03587717901671931,2024-04-22 06:00:00,2024-04-24 19:00:00,2 days 13:00:00,,65516.77727534599,65066.732224052554,65209.14820865086,65547.27707055643,65822.40787096065,65880.96425617086,502.500000000001,526.2207142857135,63277.0,63736.7
45,1,20509,20600,64066.34,62208.0,,,-1984.6143399999964,126.27434,-0.030977488959100803,2024-05-04 13:00:00,2024-05-08 08:00:00,3 days 19:00:00,,63509.756084405286,62586.4311191576,62289.13823931199,62857.372485399705,64058.87860522375,63959.736939145856,530.3678571428562,440.1942857142848,58222.0,62020.09
46,1,21125,21130,68163.0,67745.94,,,-552.9689399999977,135.90894,-0.008112450156243109,2024-05-30 05:00:00,2024-05-30 10:00:00,0 days 05:00:00,,67903.93697289443,67823.47592434968,67804.26971400518,67802.78796555416,66149.88965130305,66169.87524641477,363.86428571428615,375.00214285714276,67124.65,67124.65
47,1,21131,21138,67942.08,69315.1,,,1235.762820000004,137.25718,0.018188474948073543,2024-05-30 11:00:00,2024-05-30 18:00:00,0 days 07:00:00,,67822.30030174064,68612.6181172401,67802.88246412191,67844.66446493029,66173.98794242872,66218.08711918425,360.7221428571429,470.0492857142859,67124.65,67124.65
48,1,21206,21217,68165.97,67824.0,,,-477.95997000000114,135.98997,-0.007011709361724084,2024-06-02 14:00:00,2024-06-03 01:00:00,0 days 11:00:00,,67949.24909326868,67967.15204624213,67854.09961391446,67859.30908019259,66478.31412464535,66517.62268686554,269.4192857142885,342.64214285714115,66670.0,67257.47
49,1,21218,21229,68476.01,69746.23,,,1131.997760000001,138.22224,0.016531304321031507,2024-06-03 02:00:00,2024-06-03 13:00:00,0 days 11:00:00,,68048.77531056174,69118.25430301431,67863.0085547428,67945.41088412474,66522.36290487586,66590.2056888529,338.1207142857134,443.70642857142957,67257.47,67257.47
50,1,21450,21452,69800.0,67532.92,,,-2404.4129200000016,137.33292,-0.03444717650429799,2024-06-12 18:00:00,2024-06-12 20:00:00,0 days 02:00:00,,69001.81546066333,68620.05745713826,68970.68443444828,68955.43575925332,67823.8114551919,67823.78646994932,534.9621428571419,708.2378571428562,66051.0,66051.0
51,1,22222,22227,61276.36,62482.0,,,1081.8816399999994,123.75836000000001,0.01765577524513538,2024-07-14 22:00:00,2024-07-15 03:00:00,0 days 05:00:00,,60330.6632719076,61326.777676157675,58781.38345186976,58877.47993097557,61179.52314926938,61186.09345362409,418.5199999999999,564.4428571428564,57502.0,57756.63
52,1,22482,22497,65051.98,67106.0,,,1921.8620199999968,132.15798,0.029543482304458715,2024-07-25 18:00:00,2024-07-26 09:00:00,0 days 15:00:00,,64616.89395220384,66784.02507480835,64558.02558470028,64738.37257910975,63301.66406223205,63417.19611590891,490.0357142857148,468.5185714285716,63456.7,63456.7
53,1,22623,22628,66440.01,65256.83,,,-1314.876839999993,131.69684,-0.019790437117634303,2024-07-31 15:00:00,2024-07-31 20:00:00,0 days 05:00:00,,66286.14703382294,65901.12591502201,66245.23805992423,66233.23448491399,64517.72356937189,64534.68633672617,398.3192857142858,537.0392857142875,65302.67,64543.57
54,1,23132,23180,61570.0,63628.84,,,1933.6411599999965,125.19883999999999,0.03140557349358451,2024-08-21 20:00:00,2024-08-23 20:00:00,2 days 00:00:00,,60353.970007219534,62421.05199855531,59608.65899175338,60013.41767520828,60835.96945356941,60861.52869405527,623.4699999999996,601.6828571428586,58548.23,59724.87
55,1,23680,23734,59666.01,59651.7,,,-133.62771000000495,119.31771,-0.0022395952067183014,2024-09-13 16:00:00,2024-09-15 22:00:00,2 days 06:00:00,,58573.312395830384,59830.524623114514,57290.4651344621,58115.70108248039,58724.07211329188,58888.086758967656,421.60499999999956,273.35000000000065,55852.0,59392.0
56,2,23770,23776,58966.47,61135.49,,,4097.836079999994,240.20391999999998,0.034747171400967294,2024-09-17 10:00:00,2024-09-17 16:00:00,0 days 06:00:00,,58632.58955776412,59735.21388585982,58172.00513002397,58242.07712712458,58844.55835035498,58861.070912827665,352.46928571428464,484.2671428571422,57493.3,57493.3
57,1,24237,24238,62620.62,62303.04,,,-442.5036600000018,124.92366000000001,-0.007066420932913214,2024-10-06 21:00:00,2024-10-06 22:00:00,0 days 01:00:00,,62472.32349985817,62498.964681702135,62504.56689844333,62505.32625459985,61693.10709391055,61695.41856184086,242.51500000000098,254.87214285714384,61689.26,61689.26
58,1,24240,24241,62819.91,63677.98,,,731.5721099999997,126.49789000000001,0.011645545337457427,2024-10-07 00:00:00,2024-10-07 01:00:00,0 days 01:00:00,,62761.07503485845,62953.42502852054,62515.19434252912,62523.85750304387,61703.169486078994,61708.45245864809,332.17285714285805,344.8292857142868,61689.26,61689.26
59,1,24278,24280,63035.27,62288.01,,,-872.5832799999947,125.32328,-0.013842778495277217,2024-10-08 14:00:00,2024-10-08 16:00:00,0 days 02:00:00,,62666.95910951893,62592.95758571102,62628.0173354808,62625.38766447742,61824.021921932246,61827.040168209634,394.365714285715,448.96142857142956,62005.0,61864.89
60,1,24951,24963,69964.01,73077.05,,,2969.998940000008,143.04106000000002,0.04245038184632359,2024-11-05 15:00:00,2024-11-06 03:00:00,0 days 12:00:00,,69060.13671759133,71234.39377170448,68908.2029788326,69036.32671766102,66950.07078767194,67056.72111399575,432.01571428571333,1146.461428571428,66835.0,66835.0
61,1,25473,25659,93433.2,101248.19,,,7620.3086100000055,194.68139000000002,0.08155889566021497,2024-11-27 09:00:00,2024-12-05 03:00:00,7 days 18:00:00,,92996.46750521247,99128.1253414304,92897.27012467268,95356.655275545,84403.77259660048,88829.11924822256,683.7942857142864,1362.0157142857154,90791.1,93578.17
62,1,25811,25817,98214.29,100576.0,,,2162.9197100000065,198.79029,0.02202245426811105,2024-12-11 11:00:00,2024-12-11 17:00:00,0 days 06:00:00,,97704.39047053945,99132.68719299753,97447.87992627798,97530.01285350473,91996.37433868297,92108.64953153014,682.8621428571433,703.471428571429,94150.05,94150.05
63,1,26156,26168,99018.52,97719.99,,,-1495.268509999999,196.73851000000002,-0.01510089738768056,2024-12-25 20:00:00,2024-12-26 08:00:00,0 days 12:00:00,,98660.60025088543,97973.27150319878,98487.29772438155,98480.5496840441,96350.63458733496,96411.46451978586,607.8107142857116,785.2492857142851,92520.0,93810.45
64,1,26339,26371,96708.0,98527.97,,,1624.7340300000012,195.23597,0.01680040979029656,2025-01-02 11:00:00,2025-01-03 19:00:00,1 days 08:00:00,,96027.611186008,97654.45754127673,95747.10488403427,95996.15664077157,95754.35329537929,95852.83222140535,533.3728571428552,530.3321428571445,92888.0,93936.44
65,1,26627,26654,96686.09,98963.99,,,2082.249920000009,195.65008,0.02153618912503353,2025-01-14 11:00:00,2025-01-15 14:00:00,1 days 03:00:00,,95658.98774752274,97699.24742585018,95396.8761965071,95653.36942515285,95820.57175581779,95893.38057548307,594.1400000000004,682.7592857142839,89256.69,89256.69
66,1,26962,26973,102955.99,101264.02,,,-1896.1900100000012,204.22001,-0.018417481197548574,2025-01-28 10:00:00,2025-01-28 21:00:00,0 days 11:00:00,,102536.72576025002,101911.61994707299,102460.08015097592,102442.35040494367,99960.82103174775,100022.01048213724,761.2485714285722,826.8057142857162,97777.77,97777.77
67,1,26996,27015,103584.0,105920.57,,,2127.065430000007,209.50457,0.02053469097544034,2025-01-29 20:00:00,2025-01-30 15:00:00,0 days 19:00:00,,102853.88889311717,105238.61305682737,102427.19082185709,102721.81181822684,100150.61042154442,100370.5208807674,830.616428571431,639.9742857142846,99175.03,100272.68
68,1,27523,27547,98295.09,96543.52,,,-1946.4086099999924,194.83861000000002,-0.01980168704255714,2025-02-20 19:00:00,2025-02-21 19:00:00,1 days 00:00:00,,97672.33785611806,97431.15888399706,96974.88271012834,97141.83029746989,98129.2766865299,98128.33439857671,442.6485714285726,819.557142857142,93388.09,95247.15
69,1,28306,28376,87221.65,85212.98,,,-2181.1046299999985,172.43463,-0.02500645917613346,2025-03-25 10:00:00,2025-03-28 08:00:00,2 days 22:00:00,,86959.31187524629,86146.46333219421,84939.47719364201,85770.35645961232,87163.61674979267,87169.3935676565,495.94142857142805,458.27571428571747,84314.31,85050.01
70,1,28504,28511,86757.67,82821.6,,,-4105.649269999993,169.57927,-0.04732318502790579,2025-04-02 16:00:00,2025-04-02 23:00:00,0 days 07:00:00,,85648.52798858163,84760.37060974515,84537.14620268921,84561.5923758253,86178.69576230606,86159.73996599024,681.4335714285709,1141.6214285714293,82265.1,82265.1
71,1,28742,28809,84458.24,85850.0,,,1221.4517599999947,170.30824,0.014462197649394368,2025-04-12 14:00:00,2025-04-15 09:00:00,2 days 19:00:00,,83890.87831555,85496.45150720981,81852.08996413535,82907.61155208445,83961.58482337453,84086.58958013913,484.4664285714285,429.2907142857148,78464.36,83034.23
72,1,28839,28929,84605.3,84647.3,,,-127.2526,169.2526,-0.0015040736218652879,2025-04-16 15:00:00,2025-04-20 09:00:00,3 days 18:00:00,,84090.12461755108,84915.15732264845,83140.32711221912,83889.07807123192,84095.32996343634,84231.7994173255,557.2121428571409,185.21928571428413,83111.64,84303.96
73,1,30089,30122,105350.68,105527.71,,,-33.84838999998664,210.87839000000002,-0.000321292563085402,2025-06-07 17:00:00,2025-06-09 02:00:00,1 days 09:00:00,,105285.39143295752,105792.94257148812,105255.63485535303,105348.33072361561,103294.24100366767,103486.37782323442,338.5414285714318,336.7442857142856,100372.26,104328.18
