fast_ema,slow_ema,rsi_entry_max,rsi_entry_min,atr_sl_mult,be_trigger_atr,swing_lookback,0
20,350,60,40,3.5,2.0,80,0.0
20,350,60,40,4.0,1.5,50,0.0
20,350,60,40,4.0,2.0,80,0.0
20,350,65,35,2.0,1.5,80,0.0
20,350,65,35,3.0,2.5,50,0.0
20,350,65,40,2.5,2.5,50,0.0
20,350,65,45,2.0,2.5,60,0.0
20,350,65,45,3.5,3.0,60,0.0
20,350,65,45,4.0,1.5,80,0.0
20,350,70,30,2.0,2.5,60,0.0
20,350,70,35,2.0,2.5,80,0.0
20,350,70,35,3.0,2.0,80,0.0
20,350,70,40,2.5,3.0,40,1051.673603426408
20,350,70,45,2.0,3.0,60,0.0
20,350,70,45,3.5,2.0,60,937.3016217503161
20,350,70,45,4.0,1.5,40,0.0
20,350,70,50,3.5,1.5,50,0.0
20,350,70,50,4.0,1.5,50,0.0
20,350,75,30,4.0,1.5,60,0.0
20,350,75,35,3.5,1.5,80,0.0
20,350,75,35,4.0,1.5,80,0.0
20,350,75,40,3.0,2.5,40,815.7923995211448
20,350,75,40,3.0,2.5,50,871.2816721828547
20,350,75,40,3.0,3.0,80,901.9820938132063
20,350,75,45,3.0,2.5,40,905.0250922888274
20,350,75,45,3.5,2.0,60,0.0
20,350,75,45,4.0,2.0,60,0.0
20,350,75,50,2.0,1.5,60,0.0
20,350,75,50,3.0,1.5,50,0.0
20,350,75,50,4.0,3.0,40,1009.94088907971
20,350,80,30,3.0,3.0,80,0.0
20,350,80,35,3.5,1.5,40,0.0
20,350,80,40,3.0,3.0,50,0.0
20,350,80,40,3.5,1.5,80,0.0
20,350,80,40,3.5,2.5,50,746.0299978623722
20,350,80,45,2.0,2.0,80,0.0
20,350,80,45,2.5,2.5,50,0.0
20,350,80,45,3.0,1.5,60,0.0
20,350,80,45,3.0,2.5,60,1184.699610892012
20,350,80,45,3.0,3.0,50,0.0
20,400,60,30,3.5,3.0,40,0.0
20,400,60,35,2.0,2.5,40,0.0
20,400,60,35,3.0,1.5,40,0.0
20,400,65,30,2.5,1.5,80,0.0
20,400,65,30,3.5,2.0,50,0.0
20,400,65,35,2.0,2.0,50,0.0
20,400,65,35,3.0,2.5,40,0.0
20,400,65,40,3.0,2.0,50,0.0
20,400,65,40,4.0,3.0,50,0.0
20,400,65,45,3.0,2.5,80,0.0
20,400,70,30,2.0,1.5,80,0.0
20,400,70,30,3.0,2.5,40,0.0
20,400,70,35,3.5,3.0,40,0.0
20,400,75,35,4.0,2.0,40,0.0
20,400,75,50,3.5,2.5,40,0.0
20,400,80,30,3.0,2.0,40,0.0
20,400,80,30,4.0,2.0,40,0.0
20,400,80,35,2.5,1.5,80,0.0
20,400,80,35,3.0,2.5,80,0.0
20,400,80,35,4.0,2.0,60,0.0
20,400,80,35,4.0,2.5,80,626.5081527806424
20,400,80,40,2.5,2.0,60,0.0
20,400,80,40,3.5,3.0,60,738.5110353682207
20,400,80,45,2.0,3.0,60,0.0
20,400,80,45,2.5,2.0,60,0.0
20,400,80,45,2.5,3.0,60,0.0
20,400,80,50,2.0,2.5,60,0.0
25,200,60,35,2.0,1.5,50,0.0
25,200,60,35,2.0,3.0,60,0.0
25,200,60,35,3.0,2.5,60,0.0
25,200,60,35,4.0,2.0,40,0.0
25,200,60,40,3.5,1.5,60,0.0
25,200,65,35,4.0,3.0,60,0.0
25,200,65,40,3.5,2.0,60,0.0
25,200,65,40,3.5,3.0,50,0.0
25,200,70,30,2.5,2.5,80,0.0
25,200,70,35,3.5,3.0,80,0.0
25,200,70,45,3.5,1.5,50,0.0
25,200,75,30,2.5,2.0,60,0.0
25,200,75,30,3.5,2.5,80,0.0
25,200,75,35,2.0,2.0,50,0.0
25,200,75,35,2.5,2.5,80,0.0
25,200,75,40,2.5,1.5,50,0.0
25,200,75,50,3.5,1.5,40,0.0
25,200,75,50,3.5,1.5,60,0.0
25,200,80,30,2.0,3.0,50,0.0
25,200,80,30,3.0,2.0,40,0.0
25,200,80,30,3.5,3.0,60,0.0
25,200,80,35,2.0,1.5,50,0.0
25,200,80,35,4.0,1.5,50,0.0
25,200,80,35,4.0,2.5,80,0.0
25,200,80,45,3.5,2.5,60,968.6981735308865
25,200,80,50,3.0,2.5,40,0.0
25,200,80,50,3.5,2.0,80,0.0
25,250,60,30,3.0,2.0,80,0.0
25,250,60,30,3.5,2.5,60,0.0
25,250,60,35,2.5,2.0,50,0.0
25,250,60,35,3.0,1.5,60,0.0
25,250,65,30,3.0,3.0,50,0.0
25,250,65,30,3.5,2.0,50,0.0
25,250,65,30,4.0,2.0,40,0.0
25,250,65,30,4.0,2.5,60,0.0
25,250,65,35,2.0,2.0,80,0.0
25,250,65,35,2.5,1.5,60,0.0
25,250,65,45,4.0,1.5,40,0.0
25,250,65,45,4.0,3.0,50,0.0
25,250,70,35,4.0,1.5,40,0.0
25,250,70,35,4.0,2.5,80,0.0
25,250,70,35,4.0,3.0,50,745.9426764423416
25,250,70,40,3.0,1.5,60,0.0
25,250,70,40,3.0,1.5,80,0.0
25,250,70,40,3.5,2.0,40,0.0
