,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(20),Exit_calculate…(20),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(4800),Exit_calculate…(4800)
30,4,11533,11540,29965.45,27884.25,,,-8556.198800000004,231.3988,-0.07138386708692843,2023-04-26 13:00:00,2023-04-26 20:00:00,0 days 07:00:00,,28621.01702147983,28904.20490649629,28425.046679979514,28464.539003900536,272.96500000000015,504.1942857142853,24003.939346964202,24019.35842660908
31,4,11715,11733,29060.6,28870.16,,,-993.4830399999948,231.72304000000003,-0.008546649415359561,2023-05-04 03:00:00,2023-05-04 21:00:00,0 days 18:00:00,,28759.36966985764,28900.40908064721,28695.327241683906,28727.70978912458,279.0328571428573,188.16357142857123,24361.840063202304,24396.388523996487
32,4,12183,12199,27321.34,26712.56,,,-2651.2555999999954,216.1356,-0.024259933809981434,2023-05-23 15:00:00,2023-05-24 07:00:00,0 days 16:00:00,,27198.56697044132,27012.85249211271,27177.42128655642,27163.96779410654,127.25785714285719,120.02857142857127,24912.223086736103,24926.423924425955
33,4,12294,12365,27164.75,27257.7,,,154.11020000000292,217.6898,0.0014182920880920391,2023-05-28 06:00:00,2023-05-31 05:00:00,2 days 23:00:00,,26938.629071455245,27636.298845006655,26898.591181436084,27201.169583716208,102.77857142857101,157.2200000000001,24989.960903104296,25068.776921926517
34,4,12773,12816,26358.5,26339.98,,,-284.87392000000176,210.79392,-0.0027019170286624434,2023-06-17 05:00:00,2023-06-19 00:00:00,1 days 19:00:00,,26148.760014071504,26489.593078312868,26074.450230694667,26185.57152619011,167.17928571428612,113.33714285714294,25262.569759231654,25284.929525589967
35,4,13339,13357,30528.99,30433.06,,,-627.5682000000012,243.84820000000002,-0.005139116950806413,2023-07-10 19:00:00,2023-07-11 13:00:00,0 days 18:00:00,,30304.803867214272,30437.77231661372,30241.581140375136,30267.613535140514,142.81785714285746,119.04428571428512,26232.15027594917,26263.832168626963
36,4,14031,14057,29439.12,29513.41,,,61.34988000000351,235.81011999999998,0.000520989418161893,2023-08-08 15:00:00,2023-08-09 17:00:00,1 days 02:00:00,,29295.525978438316,29728.20345100749,29268.588462808515,29351.707504961047,113.60785714285703,135.01285714285768,27090.012558513405,27119.130206834874
37,4,14539,14557,27971.78,27353.64,,,-2693.8616799999977,221.30167999999998,-0.024076602204078465,2023-08-29 19:00:00,2023-08-30 13:00:00,0 days 18:00:00,,26829.32827613013,27338.955367180213,26614.43914361065,26712.221900727025,281.11357142857065,130.4507142857136,27157.706522904828,27160.1303890603
38,-2,14590,14660,26024.57,26011.16,,,-77.25146000000029,104.07146,-0.0014842024287048915,2023-08-31 22:00:00,2023-09-03 20:00:00,2 days 22:00:00,,26664.872200863636,25915.944110647368,26761.938253630055,26431.40739767605,262.4171428571429,94.82571428571411,27157.714125788378,27120.8776192415
39,-2,15165,15228,26502.01,26766.69,,,-635.8974000000005,106.53739999999999,-0.01199715417811713,2023-09-24 21:00:00,2023-09-27 12:00:00,2 days 15:00:00,,26565.089097088945,26357.828899094624,26572.677778462526,26465.7356391951,81.13642857142882,95.32357142857109,26966.065861741117,26947.656374235747
